country,date,plot_id,tile_coords,tree_id,height,total_tree_vol_m3,total_tree_sa_m2,trunk_vol_m3,trunk_sa_m2,trunk_diameter,trunk_length,crown_vol_m3,crown_sa_m2,crown_radius,crown_thickness,cstart,leaf_density,census_species,wood_density,angle,rms_height,correlation_length,percent_sand,percent_clay,trunk_moisture,trunk_dry_density,branch_1_moisture,branch_1_dry_density,branch_1_length,branch_1_diameter,branch_1_density,branch_1_pdf,branch_2_moisture,branch_2_dry_density,branch_2_length,branch_2_diameter,branch_2_density,branch_2_pdf,branch_3_moisture,branch_3_dry_density,branch_3_length,branch_3_diameter,branch_3_density,branch_3_pdf,branch_4_moisture,branch_4_dry_density,branch_4_length,branch_4_diameter,branch_4_density,branch_4_pdf,branch_5_moisture,branch_5_dry_density,branch_5_length,branch_5_diameter,branch_5_density,branch_5_pdf,tree_sa_to_volume_ratio,trunk_to_tree_volume_ratio,canopy_to_tree_volume_ratio,order_0_to_tree_volume_ratio,order_0_sa_to_volume_ratio,order_1_to_tree_volume_ratio,order_1_sa_to_volume_ratio,order_2_to_tree_volume_ratio,order_2_sa_to_volume_ratio,order_3_to_tree_volume_ratio,order_3_sa_to_volume_ratio,order_4_to_tree_volume_ratio,order_4_sa_to_volume_ratio,order_5_to_tree_volume_ratio,order_5_sa_to_volume_ratio,frequency,canopy_density,soil_moisture
Angola,2024-02-26,P09,Tile_0_0,44,10.647,0.359,20.894,0.224,5.643,21.88,15.479,0.135,15.251,8.039,10.244,0.94,1190.689,Baikiaea plurijuga,0.76,30,1.5,17.5,40,10,0.5,0.76,0.5,0.76,7.837,8.145,0.016,12,0.5,0.76,5.343,4.199,0.051,14,0.5,0.76,2.709,2.317,0.051,18,0.5,0.76,1.733,1.545,0.0381,18,0.5,0.76,0.655,0.844,0.0175,14,58.208,0.625,0.375,0.625,25.16,0.198,72.74,0.126,125.044,0.039,211.747,0.012,306.974,0.001,504.871,0.43,0.0119,0.5
Angola,2024-02-26,P09,Tile_0_0,44,10.647,0.359,20.894,0.224,5.643,21.88,15.479,0.135,15.251,8.039,10.244,0.94,1190.689,Baikiaea plurijuga,0.76,30,1.5,17.5,40,10,0.5,0.76,0.5,0.76,7.837,8.145,0.016,12,0.5,0.76,5.343,4.199,0.051,14,0.5,0.76,2.709,2.317,0.051,18,0.5,0.76,1.733,1.545,0.0381,18,0.5,0.76,0.655,0.844,0.0175,14,58.208,0.625,0.375,0.625,25.16,0.198,72.74,0.126,125.044,0.039,211.747,0.012,306.974,0.001,504.871,0.43,0.0119,0.75
Angola,2024-02-26,P09,Tile_0_0,44,10.647,0.359,20.894,0.224,5.643,21.88,15.479,0.135,15.251,8.039,10.244,0.94,1190.689,Baikiaea plurijuga,0.76,30,1.5,17.5,40,10,0.5,0.76,0.5,0.76,7.837,8.145,0.016,12,0.5,0.76,5.343,4.199,0.051,14,0.5,0.76,2.709,2.317,0.051,18,0.5,0.76,1.733,1.545,0.0381,18,0.5,0.76,0.655,0.844,0.0175,14,58.208,0.625,0.375,0.625,25.16,0.198,72.74,0.126,125.044,0.039,211.747,0.012,306.974,0.001,504.871,1.2,0.0119,0.25
Angola,2024-02-26,P09,Tile_0_0,44,10.647,0.359,20.894,0.224,5.643,21.88,15.479,0.135,15.251,8.039,10.244,0.94,1190.689,Baikiaea plurijuga,0.76,30,1.5,17.5,40,10,0.5,0.76,0.5,0.76,7.837,8.145,0.016,12,0.5,0.76,5.343,4.199,0.051,14,0.5,0.76,2.709,2.317,0.051,18,0.5,0.76,1.733,1.545,0.0381,18,0.5,0.76,0.655,0.844,0.0175,14,58.208,0.625,0.375,0.625,25.16,0.198,72.74,0.126,125.044,0.039,211.747,0.012,306.974,0.001,504.871,1.2,0.0119,0.5
Angola,2024-02-26,P09,Tile_0_0,44,10.647,0.359,20.894,0.224,5.643,21.88,15.479,0.135,15.251,8.039,10.244,0.94,1190.689,Baikiaea plurijuga,0.76,30,1.5,17.5,40,10,0.5,0.76,0.5,0.76,7.837,8.145,0.016,12,0.5,0.76,5.343,4.199,0.051,14,0.5,0.76,2.709,2.317,0.051,18,0.5,0.76,1.733,1.545,0.0381,18,0.5,0.76,0.655,0.844,0.0175,14,58.208,0.625,0.375,0.625,25.16,0.198,72.74,0.126,125.044,0.039,211.747,0.012,306.974,0.001,504.871,1.2,0.0119,0.75
Angola,2024-02-26,P09,Tile_0_0,44,10.647,0.359,20.894,0.224,5.643,21.88,15.479,0.135,15.251,8.039,10.244,0.94,1190.689,Baikiaea plurijuga,0.76,30,1.5,17.5,40,10,0.5,0.76,0.5,0.76,7.837,8.145,0.016,12,0.5,0.76,5.343,4.199,0.051,14,0.5,0.76,2.709,2.317,0.051,18,0.5,0.76,1.733,1.545,0.0381,18,0.5,0.76,0.655,0.844,0.0175,14,58.208,0.625,0.375,0.625,25.16,0.198,72.74,0.126,125.044,0.039,211.747,0.012,306.974,0.001,504.871,5.4,0.0119,0.25
Angola,2024-02-26,P09,Tile_0_0,44,10.647,0.359,20.894,0.224,5.643,21.88,15.479,0.135,15.251,8.039,10.244,0.94,1190.689,Baikiaea plurijuga,0.76,30,1.5,17.5,40,10,0.5,0.76,0.5,0.76,7.837,8.145,0.016,12,0.5,0.76,5.343,4.199,0.051,14,0.5,0.76,2.709,2.317,0.051,18,0.5,0.76,1.733,1.545,0.0381,18,0.5,0.76,0.655,0.844,0.0175,14,58.208,0.625,0.375,0.625,25.16,0.198,72.74,0.126,125.044,0.039,211.747,0.012,306.974,0.001,504.871,5.4,0.0119,0.5
Angola,2024-02-26,P09,Tile_0_0,44,10.647,0.359,20.894,0.224,5.643,21.88,15.479,0.135,15.251,8.039,10.244,0.94,1190.689,Baikiaea plurijuga,0.76,30,1.5,17.5,40,10,0.5,0.76,0.5,0.76,7.837,8.145,0.016,12,0.5,0.76,5.343,4.199,0.051,14,0.5,0.76,2.709,2.317,0.051,18,0.5,0.76,1.733,1.545,0.0381,18,0.5,0.76,0.655,0.844,0.0175,14,58.208,0.625,0.375,0.625,25.16,0.198,72.74,0.126,125.044,0.039,211.747,0.012,306.974,0.001,504.871,5.4,0.0119,0.75
Angola,2024-02-26,P09,Tile_0_0,47,12.809,1.057,49.362,0.46,8.425,32.28,20.544,0.596,40.938,10.745,10.038,2.084,480.349,Baikiaea plurijuga,0.76,30,1.5,17.5,40,10,0.5,0.76,0.5,0.76,11.759,14.088,0.0089,17,0.5,0.76,5.477,5.855,0.0397,18,0.5,0.76,2.867,3.572,0.0656,14,0.5,0.76,1.767,1.991,0.0528,14,0.5,0.76,0.867,1.012,0.0193,14,46.717,0.436,0.564,0.436,18.305,0.358,39.895,0.144,92.452,0.051,155.758,0.011,262.512,0.001,446.982,0.43,0.0119,0.25
Angola,2024-02-26,P09,Tile_0_0,47,12.809,1.057,49.362,0.46,8.425,32.28,20.544,0.596,40.938,10.745,10.038,2.084,480.349,Baikiaea plurijuga,0.76,30,1.5,17.5,40,10,0.5,0.76,0.5,0.76,11.759,14.088,0.0089,17,0.5,0.76,5.477,5.855,0.0397,18,0.5,0.76,2.867,3.572,0.0656,14,0.5,0.76,1.767,1.991,0.0528,14,0.5,0.76,0.867,1.012,0.0193,14,46.717,0.436,0.564,0.436,18.305,0.358,39.895,0.144,92.452,0.051,155.758,0.011,262.512,0.001,446.982,0.43,0.0119,0.5
